Apa yang terjadi pada hidung Dilo saat ia pilek?;c1
Apa yang terjadi saat Dilo bersin?;c1
Apa yang teman Dilo lakukan terhadap apel yang akan dimakannya?;c1
Mengapa ia melakukannya?;c2
Apa yang Bu Guru pakaikan ke wajah Dilo?;c1
Mengapa Dilo harus memakainya saat pilek?;c2
Mengapa Dilo harus memakainya saat pilek? Gambarkan jawaban kalian di dalam kotak. 1. Saat pilek, aku merasa 2. Agar cepat sembuh dari pilek, aku 3. Agar temanku tidak tertular pilek, aku;c6
Ceritakan gambaran kamu kepada teman;c6
Tunjuklah gambar kuman pada cerita Awas Kuman.;c1
Menurut kalian, apakah kuman itu? ;c2
Kuman bisa terdapat di mana saja?;c1
Apa yang terjadi bila kita tertular penyakit?;c2
Bagaimana caranya agar kita terhindar dari kuman?;c2
Tuliskan suku kata ku- dalam nama-nama binatang;c1
Mengapa kalian tidak boleh menyebarkan kuman kepada orang lain?;c4
Apa yang bisa kalian lakukan agar kuman tidak berpindah ke tubuh orang lain?;c2
Temukan dan bacalah suku kata ka-, ki-, ku-, ke-, ko- dalam nama-nama binatang di bawah ini. Tandai suku kata yang diawali dengan huruf k, ya;c1
Ini hari pertama masuk sekolah bagi katak, kelinci, kakaktua, dan kijang. Mereka belum dapat menulis nama sendiri. Kalian akan membantu mereka. 1. Tuliskan nama mereka. 2. Lalu, gambarlah makanan kesukaan mereka pada kartu itu.;c3
Apa yang ada di pasar?;c1
Apa saja makanan yang dijual di pasar?;c1
Apa saja mainan yang dijual di pasar?;c1
Di gambar itu ada makanan yang bersih. Tunjukkan kepada guru.;c2
Mengapa makanan itu bersih?;c4
Di gambar itu ada juga makanan yang kotor. Tunjuklah makanan itu!;c2
Mengapa makanan itu kotor?;c4
Berikan tanda silang untuk makanan yang kotor dan tanda centang untuk makanan yang bersih.;c2
Setelah menyimak cerita yang dibacakan guru. Ceritakan cara bergerak binatang-binatang !;c2
Melafalkan huruf dalam kata laba- laba;c1
Menulis huruf L dan l;c1
Menurut kalian, mengapa namanya permainan ular naga ?;c4
Saat bermain ular naga, kalian menjadi apa? Apakah: gerbang? kepala naga? badan naga? ekor naga? Gambarkan apa yang kalian lakukan saat bermain tadi, ya. (menuliskan atau menggambarkan langkah-langkahnya);c3
Tuliskan apa yang kalian pilih: lebah atau laba-laba? Mengapa kalian memilih itu?;c4
Amati gambar binatang-binatang di bawah ini, ya. Mana gambar yang menunjukkan kegiatan mendorong barang? Mana gambar yang menunjukkan kegiatan menarik barang? Gambarlah silang pada kegiatan mendorong. Beri tanda centang pada kegiatan yang menarik;c2
Menulis suku kata la-, lu-, li-, le- pada nama binatang;c1
Siapa nama teman baru Mimi?;c1
Mengapa Mimi malu dengan Maya?;c4
Apa yang akhirnya dimainkan Mimi dan teman-teman barunya?;c2
Apakah kalian pernah malu seperti Mimi?;c1
Sebutkan nama teman-teman kalian.;c1
Dapatkah kalian melihat suku kata ma-, mi-, mu-, me-, mo-? Tunjukkan kepada guru, ya.;c1
Apa suku kata yang hilang pada nama benda-benda ini, ya? Ayo, kalian lengkapi;c1
Menebali kalimat tunggal dan menuliskan tanda titik.;c1
Ayo, beri tahu Moko kata ajaib mana yang harus ia ucapkan. Amati gambar di halaman selanjutnya, lalu katakan kata ajaib itu kepada guru. Pilihlah satu dari empat kata ajaib di dalam kotak.;c4
Berada di mana anak-anak pada gambar di atas?;c1
Apa yang mereka lakukan?;c2
Apa yang kalian lihat pada gambar di atas?;c2
Bagaimana perasaan ibu guru dan anak-anak itu?;c4
Mengapa ibu guru dan anak-anak merasa seperti itu;c4
Siapa nama gajah pada cerita di atas?;c1
Siapa nama kelinci pada cerita di atas?;c1
Apa yang dilakukan gajah?;c1
Apa yang dilakukan kelinci?;c1
Apa yang dilakukan gajah dan kelinci bersama-sama?;c1
Gambarlah Gaga dan Kiki. Gambarkan juga apa yang mereka lakukan bersama-sama. Ikuti petunjuk guru.;c2
Apakah kalian tahu nama benda dan binatang ini? tunjuk suku kata ga-, gi-, gu-, ge-, go- pada nama-nama di bawah.;c1
Tuliskan kalimat gaga gajah gembira;c1
Sedang apa anak-anak pada gambar di atas?;c2
Ada di mana mereka?;c1
Berapa anak yang duduk di kursi roda ?;c1
Teman-teman kalian di kelas pasti juga berbeda-beda. Adakah teman kalian yang berkacamata ? adakah yang berambut lurus? Adakah yang berambut keriting ? hitung jumlahnya !;c1
Siapa nama anak pada cerita di atas?;c1
Apa yang diinginkan anak itu?;c1
Apakah anak itu bisa mendapatkan apa yang diinginkannya?;c2
Apa yang dilakukan anak itu untuk mendapatkan yang diinginkannya?;c2
Apakah kalian juga pernah melakukan hal yang sama?;c1
Membaca kata benda;c1
Benda-benda apakah ini? Apakah kalian tahu namanya? Lengkapi namanya, ya. Sebelum menulis, cobalah mengeja nama benda itu dulu;c1
Bimo ingin truk mainan. Akan tetapi, Bimo memerlukan sepatu. Barang yang Bimo inginkan dan yang Bimo butuhkan berbeda. Lalu, pilihlah barang yang kalian inginkan pada gambar toko di halaman sebelumnya. Gambar dan tuliskan yang kalian sukai. Ikuti petunjuk guru. Aku suka ....;c3
Kalian juga dapat menambahkan alasan kalian menyukai benda tersebut. Aku ingin ..... karenaÉ;c4
Benda apa yang kalian pilih?;c1
Benda apa yang teman kalian pilih? ;c1
Apakah benda pilihan kalian dan teman kalian sama?;c2
Jika tidak, mengapa berbeda?;c4
Apakah kalian bisa mendapatkan benda yang kalian inginkan saat ini ? Mengapa demikian ?;c5
Benda-benda mana yang kalian butuhkan dalam gambar ?;c1
Menuliskan dan menggambarkan benda yang diinginkan dan dibutuhkan.;c3
Apa perbedaan uang logam dan uang kertas?;c4
Dari mana orang tua kalian mendapatkan uang?;c1
Karena uang itu terbatas, bolehkah kita membeli semua yang kita inginkan?;c5
Mengapa kita tidak dapat membeli semua barang yang kita inginkan?;c5
Ayo, bantu bimo memasangkan dua sisi uang dengan tepat !;c1
Memahami informasi pada peta Warnailah gambar sungai !;c1
Lingkarilah gambar gubuk di sawah !;c1
Gambarlah segitiga di dekat jembatan !;c1
Ada berapa rumah pada gambar ?;c1
Ada berapa pohon pisang di sawah ?;c1
Ini tangan kiri dan kanan kalian. Sekarang, lihatlah sekeliling. Katakan kepada guru. Apa saja yang ada di sebelah kiri kalian? Apa saja yang ada di sebelah kanan kalian?;c2
Tuliskan gambar apa yang ada di sebelah kiri dan kanan ?;c2
Membaca kata letak (atas, bawah, dalam luar);c1
a. Ada apa di dalam lemari? b. Ada apa di luar kotak?;c2
Lalu, tuliskan tempat benda-benda ini pada gambar di halaman sebelum ini. 1. Ada bola di .............. kotak. 2. Ada kucing di .............. tempat tidur. 3. Ada bantal di .............. tempat tidur. 4. Ada mobil-mobilan di .............. kotak.;c1
Siapa saja petugas berseragam pada gambar di atas?;c1
Apa saja pekerjaan mereka?;c2
Petugas apa saja yang ada di dekat sekolah?;c1
Petugas apa saja yang ada di dekat rumah?;c1
Di mana cerita di atas terjadi?;c1
Kapan cerita di atas terjadi?;c1
Siapakah orang di dalam mobil yang berbicara kepada Bayu?;c1
Apa yang dikatakannya?;c2
Apa yang dilakukan Bayu selanjutnya?;c2
Pernahkah kalian mengalami apa yang dialami Bayu?;c1
Apa yang kalian lakukan saat itu?;c2
Ini adalah petugas keamanan yang dapat membantu kalian di luar rumah dan sekolah. Kalian masih ingat, bukan? Ayo, tulis namanya.;c1
Tulis dan gambarkan pada kolom di bawah ini, ya a. Kalau belum dijemput di sekolah, akuÉ b. Kalau tersesat, akuÉ.;c6

